City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
318,yatou,37.15,122.3833,68.52,95,99,6.13,CN,1688064559
319,suwayr,30.1171,40.3893,92.34,14,7,15.95,SA,1688064559
320,baragua,21.6967,-78.6328,90.72,55,98,8.41,CU,1688064560
321,vila velha,-20.3297,-40.2925,76.95,68,0,11.5,BR,1688064560
322,amungan,15.3652,119.9582,80.31,84,100,4.21,PH,1688064561
323,keflavik,64.0049,-22.5624,46.83,87,100,17.27,IS,1688064561
324,vila franca do campo,37.7167,-25.4333,73.81,88,85,15.3,PT,1688064562
325,machico,32.7,-16.7667,79.72,76,20,18.41,PT,1688064562
326,nuuk,64.1835,-51.7216,41.61,81,75,19.57,GL,1688064562
327,khovd,48.0056,91.6419,60.03,31,93,7.65,MN,1688064563
328,la foa,-21.7108,165.8276,68.27,81,87,3.31,NC,1688064563
329,punta de bombon,-17.1717,-71.7931,66.02,70,0,6.42,PE,1688064564
330,beledweyne,4.7358,45.2036,79.95,59,100,21.81,SO,1688064564
331,beira,-19.8436,34.8389,71.69,83,0,5.01,MZ,1688064565
332,poronaysk,49.2167,143.1167,49.59,94,18,2.8,RU,1688064565
333,ratnagiri,16.9833,73.3,80.76,83,100,10.89,IN,1688064329
334,zahedan,29.4963,60.8629,85.91,15,0,0.0,IR,1688064566
335,santyoku,37.4406,129.1708,68.9,98,100,5.75,KR,1688064567
336,pascagoula,30.3658,-88.5561,97.52,55,20,4.61,US,1688064567
337,rodolfo sanchez taboada,31.7167,-116.5667,69.1,64,2,4.0,MX,1688064567
338,kone,-21.0595,164.8658,64.98,86,98,1.72,NC,1688064568
339,sarankhola,22.3082,89.7897,80.26,91,38,5.97,BD,1688064569
340,saint-philippe,-21.3585,55.7679,65.79,68,42,13.15,RE,1688064569
341,ponta delgada,37.7333,-25.6667,74.12,68,75,13.8,PT,1688064569
342,stephenville,32.2207,-98.2023,101.25,24,0,11.5,US,1688064570
343,ujae,8.9322,165.7642,82.22,80,57,16.33,MH,1688064570
344,mangalia,43.8,28.5833,68.04,66,5,7.99,RO,1688064571
345,lucapa,-8.4192,20.7447,76.24,31,2,1.92,AO,1688064571
346,mora,11.0461,14.1401,86.31,47,58,4.43,CM,1688064572
347,waddan,29.1614,16.139,91.36,16,0,12.57,LY,1688064572
348,poputnaya,44.5125,41.4392,61.57,91,41,12.15,RU,1688064572
349,jamai,22.2,78.5833,74.07,92,100,9.28,IN,1688064573
350,kresttsy,58.2452,32.5165,56.66,98,93,6.33,RU,1688064573
351,sitka,57.0531,-135.33,53.49,94,100,12.66,US,1688064574
352,wynyard,-41.0,145.7167,49.98,85,100,9.66,AU,1688064416
353,xiuyan,40.2928,123.2744,66.07,87,5,2.98,CN,1688064574
354,tura,25.5198,90.2201,73.33,98,88,5.46,IN,1688064575
355,olyokminsk,60.3736,120.4264,63.43,95,100,4.68,RU,1688064575
356,wagar,16.1525,36.2032,100.4,18,0,6.46,SD,1688064577
357,dolores,-36.3132,-57.6792,53.44,52,99,6.96,AR,1688064577
358,pitimbu,-7.4706,-34.8086,82.99,80,2,11.72,BR,1688064577
359,murrysville,40.4284,-79.6975,83.44,52,100,1.99,US,1688064578
360,thanh hoa,19.8,105.7667,81.55,91,16,3.98,VN,1688064578
361,medicine hat,50.0501,-110.6683,85.21,35,20,10.36,CA,1688064330
362,quelimane,-17.8786,36.8883,69.75,77,0,2.3,MZ,1688064536
363,bodaybo,57.8506,114.1933,59.52,97,100,2.19,RU,1688064579
